Date,CenterID,ClassroomID,EnrollmentCount,FTEEnrollment
1/16/1998,C-LCV,CL-LCVTO-01,1,1
1/19/1998,C-LCV,CL-LCVTO-01,1,1
1/20/1998,C-LCV,CL-LCVTO-01,1,1
1/21/1998,C-LCV,CL-LCVTO-01,1,1
1/22/1998,C-LCV,CL-LCVTO-01,1,1
1/23/1998,C-LCV,CL-LCVTO-01,1,1
1/26/1998,C-LCV,CL-LCVTO-01,1,1
1/27/1998,C-LCV,CL-LCVTO-01,1,1
1/28/1998,C-LCV,CL-LCVTO-01,1,1
1/29/1998,C-LCV,CL-LCVTO-01,1,1
1/30/1998,C-LCV,CL-LCVTO-01,1,1
2/2/1998,C-LCV,CL-LCVTO-01,1,1
2/3/1998,C-LCV,CL-LCVTO-01,1,1
2/4/1998,C-LCV,CL-LCVTO-01,1,1
2/5/1998,C-LCV,CL-LCVTO-01,1,1
2/6/1998,C-LCV,CL-LCVTO-01,1,1
2/9/1998,C-LCV,CL-LCVTO-01,1,1
2/10/1998,C-LCV,CL-LCVTO-01,1,1
2/11/1998,C-LCV,CL-LCVTO-01,1,1
2/12/1998,C-LCV,CL-LCVTO-01,1,1
2/13/1998,C-LCV,CL-LCVTO-01,1,1
2/16/1998,C-LCV,CL-LCVTO-01,1,1
2/17/1998,C-LCV,CL-LCVTO-01,1,1
2/18/1998,C-LCV,CL-LCVTO-01,1,1
2/19/1998,C-LCV,CL-LCVTO-01,1,1
2/20/1998,C-LCV,CL-LCVTO-01,1,1
2/23/1998,C-LCV,CL-LCVIN-01,1,1.6
2/23/1998,C-LCV,CL-LCVTO-01,1,1
2/24/1998,C-LCV,CL-LCVIN-01,1,1.6
2/24/1998,C-LCV,CL-LCVTO-01,1,1
2/25/1998,C-LCV,CL-LCVIN-01,1,1.6
2/25/1998,C-LCV,CL-LCVTO-01,1,1
2/26/1998,C-LCV,CL-LCVIN-01,1,1.6
2/26/1998,C-LCV,CL-LCVTO-01,1,1
2/27/1998,C-LCV,CL-LCVIN-01,1,1.6
2/27/1998,C-LCV,CL-LCVTO-01,1,1
